Brand_Key,Sector,Ads
reed paper group,"Energy, industry & materials",37
catesbys contracts,Other / unclassified,37
commercial bank of kuwait s a k,Banking & finance,37
yawata steel,"Energy, industry & materials",37
pittsburgh national bank,Banking & finance,37
mit press,Media & publishing (incl. The Economist),37
mandarin,Other / unclassified,37
godfrey davis,Other / unclassified,37
henley management college,"Education, jobs & conferences",37
heal s contracts,Other / unclassified,37
royal,Other / unclassified,37
glenmorangie,Other / unclassified,36
minolta,Other / unclassified,36
bury felt,Other / unclassified,36
carnegie mellon university,"Education, jobs & conferences",36
united states lines,Autos & transport,36
j h fenner hull,Other / unclassified,36
university correspondence college,"Education, jobs & conferences",36
united steel companies,"Energy, industry & materials",36
tate lyle,Other / unclassified,36
glenlivet,Other / unclassified,36
allis chalmers,Other / unclassified,36
economist by air,Air travel & hotels,36
easyjet,Other / unclassified,36
oneworld,Other / unclassified,36
lse,Other / unclassified,36
operative permanent,Other / unclassified,36
neste,Other / unclassified,36
saudi international bank,Banking & finance,36
colt,Other / unclassified,36
imperial cancer research fund,Banking & finance,36
british road services,Other / unclassified,36
northwest airlines,Air travel & hotels,36
knight frank rutley,Other / unclassified,36
icl,Other / unclassified,36
stc,Other / unclassified,36
hilton hotels,Air travel & hotels,35
asian development bank,Banking & finance,35
nord lb,Other / unclassified,35
blackstone audio books,Media & publishing (incl. The Economist),35
tootal,Other / unclassified,35
alexander howden,Other / unclassified,35
